status	n_receptors	n_positive	n_negative	n_zero	mean_margin_gain	median_margin_gain	mean_ci_low	mean_ci_high	signflip_p_two_sided	archive_scored_bound	archive_scored_free	delta_auc	variant	n_training_units	n_training_receptors	best_parameters
ok	12	10	2	0	0.39636050062328226	0.1368694727358834	0.10660255287734122	0.7176834826836809	0.021484375	0.8889450056116722	0.6744500561167229	0.2144949494949493	P0_strict__exclude_matched	192	157	{'model__C': 0.5, 'model__l1_ratio': 0.25, 'inner_macro_auc': 0.7360629770498566}
ok	12	8	4	0	0.1319434794831643	0.0886277860187819	-0.023264854052703048	0.32310649258837365	0.21630859375	0.6256004489337823	0.5639674523007856	0.061632996632996706	P0_strict__exclude_50pct_homologues	96	77	{'model__C': 0.1, 'model__l1_ratio': 0.25, 'inner_macro_auc': 0.69080297253713}
ok	15	11	4	0	0.23787542559737945	0.17258754033410462	0.024269379569368997	0.46689017256719095	0.05487060546875	0.8826923076923077	0.6692307692307692	0.21346153846153848	P1_terminal_strict__exclude_matched	189	154	{'model__C': 0.1, 'model__l1_ratio': 0.25, 'inner_macro_auc': 0.7466987642905188}
ok	15	9	6	0	0.1353493844281624	0.11123749924688264	-0.010878592756253141	0.30668106639323195	0.12640380859375	0.5666666666666668	0.5217948717948718	0.044871794871794934	P1_terminal_strict__exclude_50pct_homologues	95	76	{'model__C': 0.1, 'model__l1_ratio': 0.25, 'inner_macro_auc': 0.6685499105862668}
