definition,experiment,target,n_receptors,n_positive,n_negative,roc_auc,pr_auc,bootstrap_ci_low,bootstrap_ci_high,valid_bootstraps
polymer_only,mechanical_susceptibility,Gq/11,9,4.0,5.0,0.1999999999999999,0.3654761904761904,,,0
polymer_only,mechanical_susceptibility,macro_functional,9,,,0.6222222222222221,0.7144179894179894,0.3333333333333333,0.8666666666666667,1000
polymer_only,sequence_only,Gs,9,3.0,6.0,0.9444444444444444,0.9166666666666664,,,0
polymer_only,sequence_only,Gi/o,9,7.0,2.0,0.7142857142857143,0.9093537414965986,,,0
polymer_only,sequence_only,Gq/11,9,4.0,5.0,0.8,0.8303571428571428,,,0
polymer_only,sequence_only,macro_functional,9,,,0.8195767195767196,0.8854591836734693,0.5793452380952382,1.0,1000
polymer_only,sequence_plus_new_static,Gs,9,3.0,6.0,0.7222222222222222,0.6984126984126984,,,0
polymer_only,sequence_plus_new_static,Gi/o,9,7.0,2.0,0.6428571428571428,0.8736394557823128,,,0
polymer_only,sequence_plus_new_static,Gq/11,9,4.0,5.0,0.45,0.4511904761904762,,,0
polymer_only,sequence_plus_new_static,macro_functional,9,,,0.605026455026455,0.6744142101284959,0.4094246031746032,0.825,1000
polymer_only,surface_electrostatics,Gs,9,3.0,6.0,0.888888888888889,0.8055555555555556,,,0
polymer_only,surface_electrostatics,Gi/o,9,7.0,2.0,0.4285714285714285,0.8441043083900226,,,0
polymer_only,surface_electrostatics,Gq/11,9,4.0,5.0,0.6000000000000001,0.7361111111111112,,,0
polymer_only,surface_electrostatics,macro_functional,9,,,0.6391534391534391,0.7952569916855632,0.4095238095238095,0.9444444444444444,1000
