baseline,candidate,status,n_units,n_receptors,baseline_macro_roc_auc,candidate_macro_roc_auc,delta_macro_roc_auc,delta_macro_roc_auc_ci_low,delta_macro_roc_auc_ci_high,candidate_better_macro_roc_auc,baseline_macro_pr_auc,candidate_macro_pr_auc,delta_macro_pr_auc,delta_macro_pr_auc_ci_low,delta_macro_pr_auc_ci_high,candidate_better_macro_pr_auc,baseline_balanced_accuracy,candidate_balanced_accuracy,delta_balanced_accuracy,delta_balanced_accuracy_ci_low,delta_balanced_accuracy_ci_high,candidate_better_balanced_accuracy,baseline_log_loss,candidate_log_loss,delta_log_loss,delta_log_loss_ci_low,delta_log_loss_ci_high,candidate_better_log_loss,baseline_matthews_correlation,candidate_matthews_correlation,delta_matthews_correlation,delta_matthews_correlation_ci_low,delta_matthews_correlation_ci_high,candidate_better_matthews_correlation
structure_geometry,sequence_only,ok,207,169,0.7219723882517911,0.7965702269200174,0.0745978386682263,0.0202694513133341,0.1276716674375657,True,0.5648055074455526,0.6554866012919861,0.0906810938464335,0.0075682659765433,0.1581253620101262,True,0.5496219774799131,0.6224399290437026,0.0728179515637894,-0.008993854305264,0.1516978471880667,False,1.080627698346346,0.8444641154236135,-0.2361635829227323,-0.3981006208921085,-0.0797113902117066,True,0.3266371055166072,0.4214802415992433,0.0948431360826361,-0.0275868734600558,0.2135503655256301,False
structure_adjusted,sequence_only,ok,207,169,0.7213279602327614,0.7965702269200174,0.075242266687256,0.0227528973575989,0.1298204857316933,True,0.5622453494597827,0.6554866012919861,0.0932412518322034,0.0142000946056804,0.1608182063632193,True,0.5394504681408122,0.6224399290437026,0.0829894609028903,0.0069658666441609,0.1633342261473743,True,1.291777998837638,0.8444641154236135,-0.4473138834140245,-0.696974910521231,-0.2333857087776233,True,0.3018929334936558,0.4214802415992433,0.1195873081055874,0.0038882689830578,0.2413411047948532,True
sequence_only,sequence_plus_structure,ok,207,169,0.7965702269200174,0.7437961656052666,-0.0527740613147508,-0.0997553112838461,-0.0068428514051666,False,0.6554866012919861,0.5752967005915736,-0.0801899007004125,-0.134639671490875,-0.0069851773456365,False,0.6224399290437026,0.5909886450951934,-0.0314512839485091,-0.1013887183011058,0.0404443820163722,False,0.8444641154236135,1.3068631269709865,0.4623990115473727,0.2335960409024172,0.7123968871567185,False,0.4214802415992433,0.3763004331090288,-0.0451798084902145,-0.1487239619794761,0.0658950601237885,False
missingness_only,structure_adjusted,ok,207,169,0.6299928121953827,0.7213279602327614,0.0913351480373786,0.0306076189350898,0.1556261245269666,True,0.4522169904233128,0.5622453494597827,0.1100283590364698,0.0405082507722103,0.185338629667653,True,0.4502879042279708,0.5394504681408122,0.0891625639128413,0.0116491353849128,0.1671700573966089,True,1.0560658295967265,1.291777998837638,0.2357121692409116,0.007118185986768,0.4779715424770272,False,0.1836890126773407,0.3018929334936558,0.1182039208163151,0.0032466339907674,0.2347011025255813,True
