baseline,candidate,status,n,n_receptors,delta_auc_candidate_minus_baseline,delta_auc_ci_low,delta_auc_ci_high,delta_log_loss_candidate_minus_baseline,delta_log_loss_ci_low,delta_log_loss_ci_high,auc_improvement_supported,log_loss_improvement_supported
missingness_only,contact_network,ok,207,169,0.0530301941735473,-0.0178484148915692,0.1301403719886284,-0.0989993999823004,-0.2142359156871161,-0.0007610567673682,False,True
missingness_only,surface_electrostatics,ok,207,169,0.1043718794846575,0.0308041251887759,0.1735174250392107,-0.1335281011920708,-0.2558783331772457,-0.0125981533427255,True,True
missingness_only,mechanical_susceptibility,ok,207,169,0.034367990500066,-0.0393787425581802,0.1014824736543058,-0.0060270647191567,-0.1637065125957862,0.1586726621626413,False,False
missingness_only,all_new_static,ok,207,169,0.1195825030265257,0.0501279079435334,0.1892147035643888,-0.1198710791613963,-0.2587846750813656,0.0129746950816605,True,False
existing_geometry,all_new_static,ok,207,169,-0.0492581039536036,-0.1041367778537273,0.0071998179967782,0.0750757142724867,-0.0908003135072512,0.2299919644685177,False,False
sequence_only,all_new_static,ok,207,169,-0.0766226741379797,-0.1225088886203269,-0.032461472822123,0.207385593721202,0.1113506785147219,0.3279820837041436,False,False
sequence_only,sequence_plus_new_static,ok,207,169,-0.0541064213077389,-0.0917350895617839,-0.015515842122609,0.2142228322284914,0.073842821864133,0.3915628524237757,False,False
existing_geometry,existing_geometry_plus_new_static,ok,207,169,0.0024000096321173,-0.0348091671737004,0.0369060264896324,-0.0457319464929457,-0.1593828660588603,0.0697885354650074,False,False
