experiment,validation,frame_subset,n,n_receptors,n_predictions,valid_folds,all_folds_converged,macro_roc_auc,macro_pr_auc,balanced_accuracy,log_loss,matthews_correlation,macro_roc_auc_ci_low,macro_roc_auc_ci_high,macro_pr_auc_ci_low,macro_pr_auc_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,log_loss_ci_low,log_loss_ci_high,matthews_correlation_ci_low,matthews_correlation_ci_high
structure_geometry,receptor_grouped_5fold,all,207,169,207,5,True,0.7219723882517911,0.5648055074455526,0.5496219774799131,1.080627698346346,0.3266371055166072,0.6679173569782801,0.7782094357861735,0.5114719608067682,0.6422814299891502,0.4847081496981616,0.6178177149440328,0.9156157104645712,1.2483215393945692,0.2307750476201737,0.4272030713407528
structure_adjusted,receptor_grouped_5fold,all,207,169,207,5,True,0.7213279602327614,0.5622453494597827,0.5394504681408122,1.291777998837638,0.3018929334936558,0.6692815293320689,0.7751368712473483,0.5064258539307417,0.641417444272724,0.4746786039441382,0.6082036194732091,1.051808405464066,1.542219581571031,0.2044690840928156,0.4038151328569327
sequence_only,receptor_grouped_5fold,all,207,169,207,5,True,0.7965702269200174,0.6554866012919861,0.6224399290437026,0.8444641154236134,0.4214802415992433,0.7538389968380592,0.8401916319649886,0.5929324223831937,0.7221020721024555,0.5652916760420281,0.6834937535015638,0.741190354721925,0.9491924935746956,0.3348271657377386,0.5093194356618505
sequence_plus_structure,receptor_grouped_5fold,all,207,169,207,5,True,0.7437961656052666,0.5752967005915736,0.5909886450951934,1.3068631269709865,0.3763004331090288,0.6940886771255284,0.7940761389428184,0.5232965809849064,0.6513801808536311,0.5287201197991472,0.6555052054174061,1.056695171925508,1.57316223550766,0.2855972425060646,0.4758244924119005
missingness_only,receptor_grouped_5fold,all,207,169,207,5,True,0.6299928121953827,0.4522169904233128,0.4502879042279708,1.0560658295967265,0.1836890126773407,0.5733758993050676,0.6825193845156605,0.4064109485714167,0.5182435936891482,0.3867591137143973,0.510839723461421,1.0081555983342885,1.1055006509216363,0.0908825042571124,0.2753786926055905
