experiment,description,n,n_receptors,n_predictions,valid_folds,all_folds_converged,macro_roc_auc,macro_pr_auc,balanced_accuracy,log_loss,matthews_correlation,macro_roc_auc_ci_low,macro_roc_auc_ci_high,macro_pr_auc_ci_low,macro_pr_auc_ci_high,balanced_accuracy_ci_low,balanced_accuracy_ci_high,log_loss_ci_low,log_loss_ci_high,matthews_correlation_ci_low,matthews_correlation_ci_high
existing_geometry,"Existing activation, intracellular geometry, core cavity and adjusted metadata",207,169,207,5,True,0.7778018986067391,0.6493148191922552,0.6156620848629727,0.9328554644393234,0.419903437445865,0.7266102383983549,0.8248981244564068,0.5900320116339993,0.7181315497930147,0.5484723623655984,0.677478160244514,0.8035350790226982,1.0861020507948975,0.3203984276697856,0.507962156354458
sequence_only,Generic-position receptor sequence fingerprint,207,169,207,5,True,0.8051664687911152,0.6880457462626627,0.6360003604731684,0.8005455849906081,0.4506809976845988,0.7596223152170661,0.8426559299880503,0.6204417471268738,0.7459260558818865,0.5754384120343933,0.6885363014888334,0.7222181889274437,0.8792803681482796,0.3578950802403025,0.5323563274683116
missingness_only,Existing coordinate availability and measurement completeness controls,207,169,207,5,True,0.6089612916266097,0.4317801689311464,0.4177480861720595,1.1278022578732063,0.1282756321220404,0.545819563590179,0.6701780129531262,0.3862369353752464,0.5065913418046174,0.3481526289573354,0.4915312901320183,1.0242775917804694,1.242010061655943,0.0292165457042484,0.2361167962769686
contact_network,Receptor-chain contact and side-chain network descriptors,207,169,207,5,True,0.6619914858001571,0.49122118126145,0.4936988341538841,1.028802857890906,0.2373475610276193,0.6038010266392625,0.712843504160784,0.4373837138501871,0.5652418056388905,0.4245721867312823,0.5623014938404004,0.9707056730643844,1.0902922431218134,0.1442291024527582,0.3303851784041892
surface_electrostatics,Intracellular surface chemistry and approximate Coulombic electrostatics,207,169,207,5,True,0.7133331711112673,0.5307278492637432,0.5605998083800525,0.9942741566811356,0.3208180732518292,0.6584801484670231,0.7651255492567016,0.4786289290766698,0.605662077177309,0.4927366375002265,0.6263276353867533,0.9125709441369828,1.083736078038175,0.2198558953640472,0.4158251198733784
mechanical_susceptibility,Generic-position anisotropic-network mechanical susceptibility,207,169,207,5,True,0.6433292821266757,0.4707505620870861,0.4675550433042109,1.1217751931540498,0.1806734569895089,0.5912899349774758,0.6965863110690225,0.4235254964320548,0.5422492635090704,0.4011218257387092,0.5307474904890248,1.012128321030026,1.2752933360640342,0.0815563384858477,0.2764323421133856
all_new_static,All new receptor-chain-only static physicochemical and mechanical features,207,169,207,5,True,0.7285437946531355,0.5672215919177376,0.5926605765673468,1.00793117871181,0.3761708734234367,0.6737563492364206,0.7794584370428428,0.5129814105118128,0.6453040688088888,0.5222743178054867,0.6594540825141576,0.8925476474867124,1.1330070039704183,0.2821283962344005,0.4706403622886214
sequence_plus_new_static,Sequence plus all new receptor-chain-only static features,207,169,207,5,True,0.7510600474833763,0.6133539793156281,0.6224351859756966,1.0147684172190996,0.4228723651637438,0.6969236897393554,0.8030684878310413,0.5574467285665805,0.6851754024253454,0.5576838537028306,0.6908413325327034,0.8434138686444207,1.21820645352748,0.3289554601726094,0.5193523286732366
existing_geometry_plus_new_static,Existing adjusted endpoint structure plus all new static features,207,169,207,5,True,0.7802019082388565,0.6428759143667554,0.6101126952958252,0.8871235179463777,0.4239944560280043,0.7250088301235191,0.8291291620713404,0.5861630305883458,0.7172749592165139,0.5412191671728842,0.6773081468102699,0.7702937811979581,1.0095687310238912,0.3269462108338225,0.5209308956661091
