experiment	validation	fold	class_label	transformed_feature	coefficient	absolute_coefficient
core10_interpretable__bound	receptor_grouped_5fold	1	Gq/11	numeric__bound__tm6_r350_634_distance	0.3399908174210979	0.3399908174210979
core10_interpretable__bound	receptor_grouped_5fold	1	Gq/11	numeric__bound__tm3_tm7_distance	-0.11179546228518175	0.11179546228518175
core10_interpretable__bound	receptor_grouped_5fold	1	Gq/11	numeric__bound__pif_550_644_distance	0.3280907338893269	0.3280907338893269
core10_interpretable__bound	receptor_grouped_5fold	1	Gq/11	numeric__bound__y753_displacement	-0.06460113401688593	0.06460113401688593
core10_interpretable__bound	receptor_grouped_5fold	1	Gq/11	numeric__bound__tm6_aligned_displacement	-0.017038075935622725	0.017038075935622725
core10_interpretable__bound	receptor_grouped_5fold	1	Gq/11	numeric__bound__dry_r350_630_min_distance	-0.5208934212183907	0.5208934212183907
core10_interpretable__bound	receptor_grouped_5fold	1	Gq/11	numeric__bound__icl2_helix_fraction	-0.21027357876431713	0.21027357876431713
core10_interpretable__bound	receptor_grouped_5fold	1	Gq/11	numeric__bound__icl2_centroid_to_tm6_634	0.04182196095176165	0.04182196095176165
core10_interpretable__bound	receptor_grouped_5fold	1	Gq/11	numeric__bound__tm7_h8_angle	-0.23197079090051173	0.23197079090051173
core10_interpretable__bound	receptor_grouped_5fold	1	Gq/11	numeric__bound__intracellular_cavity_core_mouth_area	0.0816248935266734	0.0816248935266734
core10_interpretable__bound	receptor_grouped_5fold	1	Gs	numeric__bound__tm6_r350_634_distance	0.4303185097209567	0.4303185097209567
core10_interpretable__bound	receptor_grouped_5fold	1	Gs	numeric__bound__tm3_tm7_distance	0.07062541473616975	0.07062541473616975
core10_interpretable__bound	receptor_grouped_5fold	1	Gs	numeric__bound__pif_550_644_distance	-0.19863073660187108	0.19863073660187108
core10_interpretable__bound	receptor_grouped_5fold	1	Gs	numeric__bound__y753_displacement	0.03908907432217373	0.03908907432217373
core10_interpretable__bound	receptor_grouped_5fold	1	Gs	numeric__bound__tm6_aligned_displacement	0.6332560196082767	0.6332560196082767
core10_interpretable__bound	receptor_grouped_5fold	1	Gs	numeric__bound__dry_r350_630_min_distance	0.912883206422527	0.912883206422527
core10_interpretable__bound	receptor_grouped_5fold	1	Gs	numeric__bound__icl2_helix_fraction	0.35403530853670767	0.35403530853670767
core10_interpretable__bound	receptor_grouped_5fold	1	Gs	numeric__bound__icl2_centroid_to_tm6_634	0.38787506938118765	0.38787506938118765
core10_interpretable__bound	receptor_grouped_5fold	1	Gs	numeric__bound__tm7_h8_angle	0.41245445780505596	0.41245445780505596
core10_interpretable__bound	receptor_grouped_5fold	1	Gs	numeric__bound__intracellular_cavity_core_mouth_area	0.3695979800794911	0.3695979800794911
