experiment	validation	fold	status	train_n	test_n	train_groups	test_groups	group_overlap	n_numeric_features	n_categorical_features	n_iter	max_iter	converged	best_parameters
bound_geometry_4fold	receptor_grouped_5fold	0	ok	13	5	10	5	0	92	0	127	50000	True	"{""inner_macro_auc"": 0.888888888888889, ""model__C"": 0.1, ""model__l1_ratio"": 0.25}"
bound_geometry_4fold	receptor_grouped_5fold	1	ok	14	4	12	3	0	92	0	237	50000	True	"{""inner_macro_auc"": 0.9722222222222222, ""model__C"": 0.5, ""model__l1_ratio"": 0.25}"
bound_geometry_4fold	receptor_grouped_5fold	2	ok	13	5	11	4	0	92	0	1102	50000	True	"{""inner_macro_auc"": 0.9166666666666666, ""model__C"": 5.0, ""model__l1_ratio"": 0.25}"
bound_geometry_4fold	receptor_grouped_5fold	3	ok	14	4	12	3	0	92	0	393	50000	True	"{""inner_macro_auc"": 0.9305555555555555, ""model__C"": 1.0, ""model__l1_ratio"": 0.25}"
receptor_only_geometry_4fold	receptor_grouped_5fold	0	ok	13	5	10	5	0	92	0	423	50000	True	"{""inner_macro_auc"": 0.8472222222222222, ""model__C"": 0.5, ""model__l1_ratio"": 0.25}"
receptor_only_geometry_4fold	receptor_grouped_5fold	1	ok	14	4	12	3	0	92	0	1293	50000	True	"{""inner_macro_auc"": 0.7546296296296297, ""model__C"": 5.0, ""model__l1_ratio"": 0.25}"
receptor_only_geometry_4fold	receptor_grouped_5fold	2	ok	13	5	11	4	0	92	0	353	50000	True	"{""inner_macro_auc"": 0.8101851851851852, ""model__C"": 0.5, ""model__l1_ratio"": 0.5}"
receptor_only_geometry_4fold	receptor_grouped_5fold	3	ok	14	4	12	3	0	92	0	523	50000	True	"{""inner_macro_auc"": 0.8703703703703703, ""model__C"": 1.0, ""model__l1_ratio"": 0.25}"
