iteration	bound_geometry	receptor_only_geometry	delta_auc_bound_minus_free
0	0.3814102564102564	0.42115384615384616	-0.03974358974358977
1	0.7121794871794872	0.6785256410256411	0.033653846153846145
2	0.5717948717948718	0.35705128205128206	0.2147435897435897
3	0.43365384615384617	0.5756410256410257	-0.14198717948717954
4	0.40416666666666673	0.4455128205128205	-0.041346153846153755
5	0.3974358974358975	0.49775641025641026	-0.10032051282051274
6	0.6112179487179489	0.5246794871794872	0.08653846153846168
7	0.3766025641025641	0.3942307692307692	-0.01762820512820512
8	0.6128205128205129	0.701602564102564	-0.08878205128205119
9	0.3326923076923077	0.4881410256410256	-0.15544871794871795
10	0.6990384615384615	0.603525641025641	0.0955128205128205
11	0.5974358974358974	0.5455128205128205	0.05192307692307696
12	0.4548076923076923	0.45737179487179486	-0.002564102564102555
13	0.6243589743589744	0.7407051282051281	-0.11634615384615377
14	0.7294871794871796	0.6435897435897435	0.08589743589743604
15	0.5371794871794872	0.6201923076923076	-0.08301282051282044
16	0.6240384615384614	0.5676282051282051	0.05641025641025632
17	0.36346153846153845	0.5490384615384616	-0.18557692307692314
18	0.555128205128205	0.45897435897435895	0.09615384615384609
19	0.3253205128205128	0.303525641025641	0.021794871794871773
20	0.3490384615384616	0.39967948717948715	-0.05064102564102557
21	0.6407051282051283	0.6086538461538461	0.03205128205128216
22	0.36858974358974356	0.5057692307692307	-0.1371794871794872
23	0.6086538461538461	0.521474358974359	0.08717948717948709
24	0.5060897435897437	0.5881410256410257	-0.08205128205128198
25	0.4923076923076923	0.42467948717948717	0.06762820512820511
26	0.3891025641025641	0.4019230769230769	-0.012820512820512775
27	0.3137820512820513	0.32499999999999996	-0.011217948717948678
28	0.4913461538461539	0.4983974358974359	-0.007051282051282026
29	0.5810897435897436	0.5028846153846154	0.07820512820512826
30	0.45737179487179486	0.3365384615384615	0.12083333333333335
31	0.3266025641025641	0.610897435897436	-0.28429487179487184
32	0.6038461538461538	0.5413461538461538	0.0625
33	0.3153846153846154	0.49198717948717946	-0.17660256410256409
34	0.6176282051282052	0.4903846153846154	0.12724358974358974
35	0.3737179487179487	0.5403846153846154	-0.16666666666666663
36	0.4189102564102564	0.4762820512820513	-0.05737179487179489
37	0.37916666666666665	0.6878205128205127	-0.30865384615384606
38	0.49775641025641026	0.5666666666666667	-0.06891025641025639
39	0.3	0.45865384615384613	-0.15865384615384615
40	0.3974358974358974	0.4461538461538462	-0.04871794871794877
41	0.5801282051282052	0.5772435897435897	0.0028846153846154854
42	0.42339743589743595	0.6038461538461538	-0.18044871794871786
43	0.3810897435897436	0.4692307692307692	-0.08814102564102555
44	0.4112179487179488	0.3881410256410256	0.023076923076923217
45	0.48205128205128206	0.5887820512820513	-0.10673076923076924
46	0.3769230769230769	0.5532051282051281	-0.1762820512820512
47	0.45480769230769225	0.43974358974358974	0.01506410256410251
48	0.4573717948717948	0.6746794871794872	-0.21730769230769242
49	0.5333333333333333	0.3967948717948718	0.13653846153846155
50	0.6538461538461539	0.6371794871794871	0.01666666666666672
51	0.5698717948717948	0.6746794871794872	-0.10480769230769238
52	0.601923076923077	0.594551282051282	0.007371794871794957
53	0.4394230769230769	0.5657051282051282	-0.12628205128205128
54	0.532051282051282	0.48685897435897435	0.0451923076923077
55	0.296474358974359	0.37019230769230765	-0.07371794871794868
56	0.378525641025641	0.5512820512820512	-0.1727564102564102
57	0.6323717948717948	0.43269230769230765	0.1996794871794872
58	0.43301282051282053	0.3778846153846154	0.055128205128205154
59	0.4891025641025641	0.5448717948717948	-0.05576923076923074
60	0.39326923076923076	0.5592948717948718	-0.16602564102564105
61	0.5064102564102564	0.23076923076923075	0.27564102564102566
62	0.4980769230769231	0.5714743589743589	-0.07339743589743586
63	0.5544871794871796	0.39487179487179486	0.15961538461538477
64	0.5644230769230769	0.3887820512820513	0.17564102564102563
65	0.5067307692307693	0.4980769230769231	0.008653846153846234
66	0.7012820512820513	0.5855769230769231	0.11570512820512824
67	0.49230769230769234	0.48365384615384616	0.008653846153846179
68	0.46858974358974365	0.39423076923076916	0.07435897435897448
69	0.7067307692307692	0.7929487179487179	-0.08621794871794874
70	0.5532051282051281	0.5499999999999999	0.0032051282051281937
71	0.5076923076923077	0.3294871794871795	0.17820512820512818
72	0.41474358974358977	0.40480769230769226	0.009935897435897512
73	0.3891025641025641	0.2689102564102564	0.12019230769230771
74	0.3875	0.45	-0.0625
75	0.38301282051282054	0.39230769230769225	-0.009294871794871706
76	0.5391025641025641	0.5557692307692307	-0.016666666666666607
77	0.43301282051282053	0.32019230769230766	0.11282051282051286
78	0.5586538461538462	0.4375	0.12115384615384617
79	0.40448717948717944	0.4698717948717948	-0.06538461538461537
80	0.5387820512820513	0.4881410256410256	0.05064102564102563
81	0.5320512820512819	0.45384615384615384	0.0782051282051281
82	0.3842948717948718	0.5016025641025641	-0.11730769230769228
83	0.49551282051282053	0.26794871794871794	0.2275641025641026
84	0.6073717948717949	0.49230769230769234	0.1150641025641026
85	0.7057692307692308	0.5538461538461539	0.15192307692307694
86	0.42916666666666664	0.4551282051282051	-0.02596153846153848
87	0.24294871794871795	0.3246794871794872	-0.08173076923076925
88	0.3833333333333333	0.3278846153846154	0.05544871794871792
89	0.2740384615384615	0.5400641025641025	-0.266025641025641
90	0.7788461538461539	0.5791666666666667	0.19967948717948714
91	0.4724358974358975	0.5028846153846155	-0.030448717948718007
92	0.3461538461538461	0.5461538461538461	-0.2
93	0.5365384615384615	0.33749999999999997	0.19903846153846155
94	0.5897435897435898	0.630448717948718	-0.04070512820512828
95	0.6657051282051283	0.5730769230769232	0.09262820512820513
96	0.47500000000000003	0.4743589743589744	0.0006410256410256387
97	0.5939102564102564	0.40993589743589737	0.18397435897435904
98	0.26987179487179486	0.35544871794871796	-0.0855769230769231
99	0.4189102564102564	0.471474358974359	-0.0525641025641026
100	0.5057692307692307	0.5564102564102564	-0.05064102564102568
101	0.41282051282051285	0.4323717948717949	-0.019551282051282037
102	0.6298076923076923	0.5288461538461539	0.10096153846153844
103	0.3826923076923077	0.39038461538461533	-0.0076923076923076095
104	0.5727564102564102	0.6298076923076923	-0.05705128205128207
105	0.6221153846153845	0.5826923076923077	0.03942307692307678
106	0.43782051282051276	0.5157051282051283	-0.0778846153846155
107	0.48717948717948717	0.6368589743589743	-0.14967948717948715
108	0.3128205128205128	0.42852564102564106	-0.11570512820512824
109	0.5115384615384616	0.4067307692307692	0.10480769230769243
110	0.553525641025641	0.5435897435897435	0.0099358974358974
111	0.31314102564102564	0.3022435897435897	0.010897435897435914
112	0.4919871794871795	0.5541666666666667	-0.06217948717948718
113	0.43076923076923074	0.5471153846153847	-0.11634615384615393
114	0.4169871794871795	0.6118589743589744	-0.1948717948717949
115	0.742948717948718	0.5599358974358974	0.18301282051282053
116	0.514423076923077	0.47884615384615387	0.03557692307692312
117	0.5022435897435898	0.47852564102564105	0.0237179487179488
118	0.44967948717948714	0.35512820512820514	0.09455128205128199
119	0.5266025641025641	0.5730769230769232	-0.04647435897435903
120	0.680128205128205	0.3592948717948718	0.32083333333333325
121	0.5006410256410256	0.5115384615384615	-0.010897435897435859
122	0.5871794871794872	0.5836538461538462	0.003525641025641013
123	0.4865384615384616	0.31698717948717947	0.16955128205128212
124	0.42628205128205127	0.4807692307692308	-0.054487179487179516
125	0.4990384615384616	0.45737179487179486	0.04166666666666674
126	0.41282051282051285	0.5048076923076923	-0.09198717948717944
127	0.5051282051282051	0.5121794871794871	-0.007051282051282026
128	0.21025641025641026	0.283974358974359	-0.07371794871794876
129	0.6019230769230769	0.5323717948717949	0.06955128205128203
130	0.4932692307692308	0.5637820512820513	-0.07051282051282048
131	0.3269230769230769	0.6028846153846154	-0.2759615384615384
132	0.5842948717948718	0.4826923076923077	0.10160256410256413
133	0.5237179487179487	0.5493589743589743	-0.02564102564102555
134	0.521474358974359	0.3448717948717948	0.1766025641025642
135	0.3548076923076923	0.5794871794871795	-0.22467948717948721
136	0.5198717948717949	0.4157051282051281	0.1041666666666668
137	0.5496794871794871	0.4624999999999999	0.0871794871794872
138	0.40801282051282045	0.358974358974359	0.049038461538461475
139	0.4471153846153846	0.45737179487179486	-0.010256410256410275
140	0.3958333333333333	0.42532051282051286	-0.02948717948717955
141	0.4512820512820513	0.5471153846153846	-0.09583333333333327
142	0.5439102564102565	0.5394230769230769	0.004487179487179582
143	0.5544871794871794	0.4679487179487179	0.08653846153846151
144	0.5416666666666667	0.7996794871794872	-0.2580128205128205
145	0.4875	0.49230769230769234	-0.004807692307692346
146	0.6842948717948718	0.45865384615384625	0.22564102564102556
147	0.2894230769230769	0.4124999999999999	-0.12307692307692303
148	0.4977564102564102	0.5775641025641026	-0.07980769230769241
149	0.3480769230769231	0.29134615384615387	0.05673076923076925
150	0.7028846153846154	0.6602564102564102	0.0426282051282052
151	0.4365384615384615	0.5224358974358975	-0.08589743589743598
152	0.4083333333333334	0.517948717948718	-0.10961538461538461
153	0.42788461538461536	0.3237179487179487	0.10416666666666669
154	0.632371794871795	0.27499999999999997	0.357371794871795
155	0.6775641025641025	0.4583333333333333	0.21923076923076917
156	0.42403846153846153	0.6878205128205129	-0.2637820512820514
157	0.6532051282051282	0.6076923076923076	0.04551282051282057
158	0.6759615384615385	0.5676282051282051	0.10833333333333339
159	0.7647435897435897	0.5608974358974359	0.2038461538461538
160	0.25224358974358974	0.38173076923076926	-0.12948717948717953
161	0.4576923076923077	0.6381410256410257	-0.18044871794871803
162	0.5778846153846153	0.471474358974359	0.10641025641025631
163	0.4826923076923077	0.503525641025641	-0.020833333333333315
164	0.24391025641025635	0.4987179487179487	-0.2548076923076924
165	0.25608974358974357	0.5083333333333333	-0.25224358974358974
166	0.432051282051282	0.5391025641025641	-0.10705128205128206
167	0.3942307692307692	0.4490384615384615	-0.05480769230769228
168	0.2807692307692307	0.46410256410256406	-0.18333333333333335
169	0.4560897435897435	0.2798076923076923	0.1762820512820512
170	0.5596153846153846	0.45576923076923076	0.10384615384615387
171	0.5490384615384615	0.625	-0.07596153846153852
172	0.4115384615384616	0.4823717948717949	-0.0708333333333333
173	0.39487179487179486	0.5429487179487179	-0.14807692307692305
174	0.5701923076923077	0.4881410256410257	0.08205128205128198
175	0.6919871794871795	0.5384615384615384	0.15352564102564104
176	0.26346153846153847	0.4676282051282051	-0.2041666666666666
177	0.5269230769230769	0.33237179487179486	0.19455128205128208
178	0.4201923076923077	0.533974358974359	-0.11378205128205127
179	0.6198717948717948	0.7275641025641025	-0.10769230769230775
180	0.45480769230769225	0.6538461538461539	-0.1990384615384616
181	0.701602564102564	0.5849358974358974	0.1166666666666667
182	0.3458333333333334	0.4913461538461539	-0.1455128205128205
183	0.6564102564102564	0.5221153846153846	0.13429487179487176
184	0.5846153846153846	0.47243589743589737	0.11217948717948728
185	0.38397435897435894	0.4746794871794872	-0.09070512820512827
186	0.6599358974358974	0.5939102564102564	0.06602564102564101
187	0.6429487179487179	0.6092948717948717	0.033653846153846145
188	0.7028846153846153	0.3580128205128205	0.3448717948717948
189	0.2086538461538461	0.3125	-0.1038461538461539
190	0.3958333333333333	0.5362179487179487	-0.14038461538461539
191	0.46410256410256406	0.5048076923076924	-0.04070512820512834
192	0.47532051282051285	0.42820512820512824	0.047115384615384615
193	0.530448717948718	0.37243589743589745	0.1580128205128205
194	0.36378205128205127	0.514102564102564	-0.15032051282051279
195	0.3717948717948718	0.4467948717948718	-0.07500000000000001
196	0.6592948717948718	0.44487179487179485	0.21442307692307694
197	0.4612179487179487	0.4551282051282051	0.006089743589743568
198	0.3298076923076923	0.45865384615384613	-0.12884615384615383
199	0.3769230769230769	0.3166666666666667	0.06025641025641021
200	0.5875	0.3612179487179487	0.2262820512820513
201	0.4057692307692307	0.4650641025641025	-0.059294871794871806
202	0.24262820512820513	0.44519230769230766	-0.20256410256410254
203	0.19615384615384615	0.33205128205128204	-0.1358974358974359
204	0.31826923076923075	0.3301282051282051	-0.011858974358974372
205	0.4150641025641026	0.5163461538461539	-0.10128205128205131
206	0.3923076923076923	0.5237179487179487	-0.13141025641025644
207	0.33910256410256406	0.46025641025641023	-0.12115384615384617
208	0.5743589743589744	0.3663461538461539	0.20801282051282055
209	0.5897435897435898	0.46217948717948715	0.1275641025641026
210	0.5496794871794872	0.6679487179487179	-0.11826923076923068
211	0.5022435897435898	0.5923076923076923	-0.09006410256410247
212	0.673397435897436	0.4275641025641026	0.24583333333333335
213	0.5317307692307692	0.5589743589743589	-0.027243589743589647
214	0.4903846153846154	0.32884615384615384	0.16153846153846158
215	0.7317307692307692	0.6070512820512821	0.12467948717948707
216	0.5217948717948718	0.5118589743589744	0.0099358974358974
217	0.6775641025641025	0.3282051282051282	0.3493589743589743
218	0.49775641025641026	0.32179487179487176	0.1759615384615385
219	0.6647435897435897	0.6868589743589744	-0.022115384615384648
220	0.31826923076923075	0.6749999999999999	-0.3567307692307692
221	0.7528846153846155	0.3929487179487179	0.3599358974358976
222	0.29903846153846153	0.5788461538461538	-0.27980769230769226
223	0.4634615384615384	0.4173076923076922	0.04615384615384621
224	0.5394230769230769	0.5115384615384616	0.027884615384615286
225	0.5355769230769231	0.6445512820512821	-0.10897435897435903
226	0.49999999999999994	0.6932692307692307	-0.1932692307692308
227	0.41762820512820514	0.5272435897435898	-0.10961538461538461
228	0.45705128205128204	0.3022435897435897	0.1548076923076923
229	0.7346153846153847	0.5894230769230769	0.14519230769230773
230	0.39935897435897433	0.5916666666666667	-0.19230769230769235
231	0.3461538461538461	0.5368589743589745	-0.19070512820512836
232	0.6596153846153846	0.39006410256410257	0.26955128205128204
233	0.39134615384615384	0.4134615384615385	-0.022115384615384648
234	0.528525641025641	0.391025641025641	0.1375
235	0.36089743589743595	0.35000000000000003	0.010897435897435914
236	0.6060897435897437	0.3384615384615384	0.26762820512820523
237	0.3612179487179487	0.3157051282051282	0.04551282051282052
238	0.49519230769230765	0.8362179487179486	-0.341025641025641
239	0.32083333333333336	0.328525641025641	-0.007692307692307665
240	0.5032051282051282	0.47371794871794864	0.02948717948717955
241	0.6621794871794872	0.5637820512820513	0.09839743589743588
242	0.6003205128205128	0.3592948717948718	0.241025641025641
243	0.619551282051282	0.6291666666666668	-0.009615384615384803
244	0.3942307692307692	0.4711538461538461	-0.07692307692307687
245	0.30737179487179483	0.38301282051282054	-0.0756410256410257
246	0.6086538461538461	0.5519230769230768	0.05673076923076925
247	0.5935897435897436	0.6653846153846154	-0.07179487179487176
248	0.5583333333333332	0.6560897435897436	-0.09775641025641035
249	0.5099358974358974	0.4810897435897436	0.0288461538461538
250	0.38846153846153847	0.3708333333333333	0.017628205128205177
251	0.40128205128205124	0.3362179487179488	0.06506410256410244
252	0.4625000000000001	0.5974358974358974	-0.13493589743589735
253	0.6493589743589744	0.4275641025641026	0.22179487179487178
254	0.4858974358974359	0.5086538461538462	-0.022756410256410342
