receptor_name	uniprot	species	hauser_uniprot_code	hauser_iuphar_name	direct_human_accession_match	supported_Gs	supported_Gi_o	supported_Gq_11	supported_G12_13	n_supported_modeled_families	n_supported_four_families	supported_2plus_modeled_families
ednra_human	P25101	Homo sapiens	EDNRA	ETA	True	1.0	1.0	1.0	1.0	3.0	4.0	True
ednrb_human	P24530	Homo sapiens	EDNRB	ETB	True	1.0	1.0	1.0	0.0	3.0	3.0	True
ffar1_human	O14842	Homo sapiens	FFAR1	FFA1	True	1.0	1.0	1.0	0.0	3.0	3.0	True
ffar2_human	O15552	Homo sapiens	FFAR2	FFA2	True	0.0	1.0	1.0	0.0	2.0	2.0	True
ffar3_human	O14843	Homo sapiens	FFAR3	FFA3	True	0.0	1.0	0.0	1.0	1.0	2.0	False
ffar4_human	Q5NUL3	Homo sapiens	FFAR4	FFA4	True	0.0	1.0	1.0	1.0	2.0	3.0	True
fpr1_human	P21462	Homo sapiens	FPR1	FPR1	True	0.0	1.0	0.0	0.0	1.0	1.0	False
fpr2_human	P25090	Homo sapiens	FPR2	FPR2/ALX	True	0.0	1.0	1.0	0.0	2.0	2.0	True
fshr_human	P23945	Homo sapiens	FSHR	FSH	True	1.0	1.0	1.0	0.0	3.0	3.0	True
galr1_human	P47211	Homo sapiens	GALR1	GAL1	True	0.0	1.0	0.0	0.0	1.0	1.0	False
galr2_human	O43603	Homo sapiens	GALR2	GAL2	True	0.0	1.0	1.0	1.0	2.0	3.0	True
gasr_human	P32239	Homo sapiens	GASR	CCK2	True	0.0	0.0	1.0	0.0	1.0	1.0	False
ghsr_human	Q92847	Homo sapiens	GHSR	Ghrelin	True	0.0	1.0	1.0	1.0	2.0	3.0	True
gp101_human	Q96P66	Homo sapiens	GP101	GPR101	True	1.0	0.0	0.0	0.0	1.0	1.0	False
gp119_human	Q8TDV5	Homo sapiens	GP119	GPR119	True	1.0	0.0	0.0	0.0	1.0	1.0	False
gp132_human	Q9UNW8	Homo sapiens	GP132	GPR132	True	0.0	0.0	0.0	0.0	0.0	0.0	False
gp139_human	Q6DWJ6	Homo sapiens	GP139	GPR139	True	0.0	0.0	1.0	0.0	1.0	1.0	False
gp161_human	Q8N6U8	Homo sapiens	GP161	GPR161	True	0.0	0.0	0.0	0.0	0.0	0.0	False
gp174_human	Q9BXC1	Homo sapiens	GP174	GPR174	True	0.0	0.0	0.0	0.0	0.0	0.0	False
gp183_human	P32249	Homo sapiens	GP183	GPR183	True	0.0	1.0	0.0	1.0	1.0	2.0	False
gpbar_human	Q8TDU6	Homo sapiens	GPBAR	GPBA	True	1.0	0.0	0.0	0.0	1.0	1.0	False
gper1_human	Q99527	Homo sapiens	GPER1	GPER	True	1.0	1.0	0.0	0.0	2.0	2.0	True
gpr12_human	P47775	Homo sapiens	GPR12	GPR12	True	1.0	1.0	0.0	0.0	2.0	2.0	True
gpr15_human	P49685	Homo sapiens	GPR15	GPR15	True	0.0	0.0	0.0	0.0	0.0	0.0	False
gpr17_human	Q13304	Homo sapiens	GPR17	GPR17	True	0.0	1.0	1.0	0.0	2.0	2.0	True
gpr20_human	Q99678	Homo sapiens	GPR20	GPR20	True	0.0	1.0	0.0	0.0	1.0	1.0	False
gpr21_human	Q99679	Homo sapiens	GPR21	GPR21	True	0.0	0.0	0.0	0.0	0.0	0.0	False
gpr34_human	Q9UPC5	Homo sapiens	GPR34	GPR34	True	0.0	1.0	0.0	0.0	1.0	1.0	False
gpr3_human	P46089	Homo sapiens	GPR3	GPR3	True	1.0	0.0	0.0	0.0	1.0	1.0	False
