experiment	validation	frame_subset	n	n_receptors	n_predictions	valid_folds	all_folds_converged	macro_roc_auc	macro_pr_auc	balanced_accuracy	log_loss	matthews_correlation	macro_roc_auc_ci_low	macro_roc_auc_ci_high	macro_pr_auc_ci_low	macro_pr_auc_ci_high	balanced_accuracy_ci_low	balanced_accuracy_ci_high	log_loss_ci_low	log_loss_ci_high	matthews_correlation_ci_low	matthews_correlation_ci_high
four_feature_activation_code__bound	receptor_grouped_5fold	all	18	15	18	5	True	0.7977564102564102	0.6494361194361193	0.625	0.755726014105864	0.49523900192134024	0.6434135864135864	0.9387334887334885	0.5783807411521228	0.8888888888888888	0.46937499999999993	0.7727272727272728	0.48580841199109065	1.0313103869517495	0.25107795858163123	0.7453661604840418
four_feature_activation_code__free	receptor_grouped_5fold	all	18	15	18	5	True	0.7461538461538462	0.5916696239490357	0.5416666666666666	0.9362978921933909	0.3530939318018998	0.5826393051393051	0.8959704184704185	0.48726736111111113	0.7909154387279387	0.40116071428571426	0.6667361111111106	0.5874482767497763	1.3549687596154996	0.08050764858994133	0.5945208322893287
