experiment	validation	fold	class_label	transformed_feature	coefficient	absolute_coefficient
four_feature_activation_code__bound	receptor_grouped_5fold	3	Gq/11	numeric__bound__tm6_r350_634_distance	-0.1766415359845415	0.1766415359845415
four_feature_activation_code__bound	receptor_grouped_5fold	3	Gq/11	numeric__bound__tm3_tm7_distance	-0.38661663374606575	0.38661663374606575
four_feature_activation_code__bound	receptor_grouped_5fold	3	Gq/11	numeric__bound__pif_550_644_distance	0.19225037583345134	0.19225037583345134
four_feature_activation_code__bound	receptor_grouped_5fold	3	Gq/11	numeric__bound__y753_displacement	0.07476047185057384	0.07476047185057384
four_feature_activation_code__bound	receptor_grouped_5fold	3	Gs	numeric__bound__tm6_r350_634_distance	1.2644981353540414	1.2644981353540414
four_feature_activation_code__bound	receptor_grouped_5fold	3	Gs	numeric__bound__tm3_tm7_distance	-0.044966171201091705	0.044966171201091705
four_feature_activation_code__bound	receptor_grouped_5fold	3	Gs	numeric__bound__pif_550_644_distance	0.008207699574527884	0.008207699574527884
four_feature_activation_code__bound	receptor_grouped_5fold	3	Gs	numeric__bound__y753_displacement	-0.09332246390713428	0.09332246390713428
four_feature_activation_code__bound	receptor_grouped_5fold	4	Gi/o	numeric__bound__tm6_r350_634_distance	-1.1968183777254158	1.1968183777254158
four_feature_activation_code__bound	receptor_grouped_5fold	4	Gi/o	numeric__bound__tm3_tm7_distance	0.2547807776203314	0.2547807776203314
four_feature_activation_code__bound	receptor_grouped_5fold	4	Gi/o	numeric__bound__pif_550_644_distance	-0.268443261595597	0.268443261595597
four_feature_activation_code__bound	receptor_grouped_5fold	4	Gi/o	numeric__bound__y753_displacement	0.13402065651821737	0.13402065651821737
four_feature_activation_code__bound	receptor_grouped_5fold	4	Gq/11	numeric__bound__tm6_r350_634_distance	0.09585704602750526	0.09585704602750526
four_feature_activation_code__bound	receptor_grouped_5fold	4	Gq/11	numeric__bound__tm3_tm7_distance	-0.32520230765281644	0.32520230765281644
four_feature_activation_code__bound	receptor_grouped_5fold	4	Gq/11	numeric__bound__pif_550_644_distance	-0.2481908212256412	0.2481908212256412
four_feature_activation_code__bound	receptor_grouped_5fold	4	Gq/11	numeric__bound__y753_displacement	-0.21866457819917734	0.21866457819917734
four_feature_activation_code__bound	receptor_grouped_5fold	4	Gs	numeric__bound__tm6_r350_634_distance	1.10096133169791	1.10096133169791
four_feature_activation_code__bound	receptor_grouped_5fold	4	Gs	numeric__bound__tm3_tm7_distance	0.07042153003248512	0.07042153003248512
four_feature_activation_code__bound	receptor_grouped_5fold	4	Gs	numeric__bound__pif_550_644_distance	0.5166340828212382	0.5166340828212382
four_feature_activation_code__bound	receptor_grouped_5fold	4	Gs	numeric__bound__y753_displacement	0.0846439216809597	0.0846439216809597
four_feature_activation_code__free	receptor_grouped_5fold	0	Gi/o	numeric__receptor_only__tm6_r350_634_distance	-0.28314966039218037	0.28314966039218037
four_feature_activation_code__free	receptor_grouped_5fold	0	Gi/o	numeric__receptor_only__tm3_tm7_distance	1.0681369958014126	1.0681369958014126
four_feature_activation_code__free	receptor_grouped_5fold	0	Gi/o	numeric__receptor_only__pif_550_644_distance	-0.3653878212202708	0.3653878212202708
four_feature_activation_code__free	receptor_grouped_5fold	0	Gi/o	numeric__receptor_only__y753_displacement	-0.08359194182114853	0.08359194182114853
four_feature_activation_code__free	receptor_grouped_5fold	0	Gq/11	numeric__receptor_only__tm6_r350_634_distance	0.37500432656069255	0.37500432656069255
four_feature_activation_code__free	receptor_grouped_5fold	0	Gq/11	numeric__receptor_only__tm3_tm7_distance	-0.6975066565644291	0.6975066565644291
four_feature_activation_code__free	receptor_grouped_5fold	0	Gq/11	numeric__receptor_only__pif_550_644_distance	0.3532420315441167	0.3532420315441167
four_feature_activation_code__free	receptor_grouped_5fold	0	Gq/11	numeric__receptor_only__y753_displacement	-0.5292273426220268	0.5292273426220268
four_feature_activation_code__free	receptor_grouped_5fold	0	Gs	numeric__receptor_only__tm6_r350_634_distance	-0.091854666168512	0.091854666168512
four_feature_activation_code__free	receptor_grouped_5fold	0	Gs	numeric__receptor_only__tm3_tm7_distance	-0.37063033923698335	0.37063033923698335
four_feature_activation_code__free	receptor_grouped_5fold	0	Gs	numeric__receptor_only__pif_550_644_distance	0.012145789676154371	0.012145789676154371
four_feature_activation_code__free	receptor_grouped_5fold	0	Gs	numeric__receptor_only__y753_displacement	0.6128192844431751	0.6128192844431751
four_feature_activation_code__free	receptor_grouped_5fold	1	Gi/o	numeric__receptor_only__tm6_r350_634_distance	-0.7925307413246672	0.7925307413246672
four_feature_activation_code__free	receptor_grouped_5fold	1	Gi/o	numeric__receptor_only__tm3_tm7_distance	0.7585200628910315	0.7585200628910315
four_feature_activation_code__free	receptor_grouped_5fold	1	Gi/o	numeric__receptor_only__pif_550_644_distance	-0.47425042986814336	0.47425042986814336
four_feature_activation_code__free	receptor_grouped_5fold	1	Gi/o	numeric__receptor_only__y753_displacement	0.015028804105678441	0.015028804105678441
four_feature_activation_code__free	receptor_grouped_5fold	1	Gq/11	numeric__receptor_only__tm6_r350_634_distance	0.0005987026756785943	0.0005987026756785943
four_feature_activation_code__free	receptor_grouped_5fold	1	Gq/11	numeric__receptor_only__tm3_tm7_distance	-0.8658587325451121	0.8658587325451121
four_feature_activation_code__free	receptor_grouped_5fold	1	Gq/11	numeric__receptor_only__pif_550_644_distance	0.2569815921199477	0.2569815921199477
four_feature_activation_code__free	receptor_grouped_5fold	1	Gq/11	numeric__receptor_only__y753_displacement	-0.47713745639078303	0.47713745639078303
four_feature_activation_code__free	receptor_grouped_5fold	1	Gs	numeric__receptor_only__tm6_r350_634_distance	0.7919320386489884	0.7919320386489884
four_feature_activation_code__free	receptor_grouped_5fold	1	Gs	numeric__receptor_only__tm3_tm7_distance	0.1073386696540806	0.1073386696540806
four_feature_activation_code__free	receptor_grouped_5fold	1	Gs	numeric__receptor_only__pif_550_644_distance	0.21726883774819544	0.21726883774819544
four_feature_activation_code__free	receptor_grouped_5fold	1	Gs	numeric__receptor_only__y753_displacement	0.46210865228510467	0.46210865228510467
four_feature_activation_code__free	receptor_grouped_5fold	2	Gi/o	numeric__receptor_only__tm6_r350_634_distance	-0.3543642756699983	0.3543642756699983
four_feature_activation_code__free	receptor_grouped_5fold	2	Gi/o	numeric__receptor_only__tm3_tm7_distance	0.8984434102899719	0.8984434102899719
four_feature_activation_code__free	receptor_grouped_5fold	2	Gi/o	numeric__receptor_only__pif_550_644_distance	-0.4192994786063196	0.4192994786063196
four_feature_activation_code__free	receptor_grouped_5fold	2	Gi/o	numeric__receptor_only__y753_displacement	-0.32879867018166375	0.32879867018166375
four_feature_activation_code__free	receptor_grouped_5fold	2	Gq/11	numeric__receptor_only__tm6_r350_634_distance	0.4238831275174822	0.4238831275174822
four_feature_activation_code__free	receptor_grouped_5fold	2	Gq/11	numeric__receptor_only__tm3_tm7_distance	-0.9016186902072729	0.9016186902072729
four_feature_activation_code__free	receptor_grouped_5fold	2	Gq/11	numeric__receptor_only__pif_550_644_distance	0.06777471748790362	0.06777471748790362
four_feature_activation_code__free	receptor_grouped_5fold	2	Gq/11	numeric__receptor_only__y753_displacement	-0.7110993412664272	0.7110993412664272
four_feature_activation_code__free	receptor_grouped_5fold	2	Gs	numeric__receptor_only__tm6_r350_634_distance	-0.06951885184748384	0.06951885184748384
four_feature_activation_code__free	receptor_grouped_5fold	2	Gs	numeric__receptor_only__tm3_tm7_distance	0.0031752799173010117	0.0031752799173010117
four_feature_activation_code__free	receptor_grouped_5fold	2	Gs	numeric__receptor_only__pif_550_644_distance	0.3515247611184163	0.3515247611184163
four_feature_activation_code__free	receptor_grouped_5fold	2	Gs	numeric__receptor_only__y753_displacement	1.0398980114480907	1.0398980114480907
four_feature_activation_code__free	receptor_grouped_5fold	3	Gi/o	numeric__receptor_only__tm6_r350_634_distance	-0.311504521213925	0.311504521213925
four_feature_activation_code__free	receptor_grouped_5fold	3	Gi/o	numeric__receptor_only__tm3_tm7_distance	1.0159980671397504	1.0159980671397504
four_feature_activation_code__free	receptor_grouped_5fold	3	Gi/o	numeric__receptor_only__pif_550_644_distance	-0.29575348140805424	0.29575348140805424
four_feature_activation_code__free	receptor_grouped_5fold	3	Gi/o	numeric__receptor_only__y753_displacement	-0.200501023089652	0.200501023089652
four_feature_activation_code__free	receptor_grouped_5fold	3	Gq/11	numeric__receptor_only__tm6_r350_634_distance	0.3081383763962695	0.3081383763962695
four_feature_activation_code__free	receptor_grouped_5fold	3	Gq/11	numeric__receptor_only__tm3_tm7_distance	-0.758946095057352	0.758946095057352
four_feature_activation_code__free	receptor_grouped_5fold	3	Gq/11	numeric__receptor_only__pif_550_644_distance	0.275370272604873	0.275370272604873
four_feature_activation_code__free	receptor_grouped_5fold	3	Gq/11	numeric__receptor_only__y753_displacement	-0.3973960796233936	0.3973960796233936
four_feature_activation_code__free	receptor_grouped_5fold	3	Gs	numeric__receptor_only__tm6_r350_634_distance	0.003366144817655888	0.003366144817655888
four_feature_activation_code__free	receptor_grouped_5fold	3	Gs	numeric__receptor_only__tm3_tm7_distance	-0.2570519720823984	0.2570519720823984
four_feature_activation_code__free	receptor_grouped_5fold	3	Gs	numeric__receptor_only__pif_550_644_distance	0.020383208803181528	0.020383208803181528
four_feature_activation_code__free	receptor_grouped_5fold	3	Gs	numeric__receptor_only__y753_displacement	0.5978971027130454	0.5978971027130454
four_feature_activation_code__free	receptor_grouped_5fold	4	Gi/o	numeric__receptor_only__tm6_r350_634_distance	-0.2305913202495684	0.2305913202495684
