all_folds_converged	balanced_accuracy	experiment	log_loss	macro_pr_auc	macro_roc_auc	matthews_correlation	n	n_predictions	n_receptors	valid_folds	validation	task_id	runtime_seconds	balanced_accuracy_ci_high	balanced_accuracy_ci_low	frame_subset	macro_pr_auc_ci_high	macro_pr_auc_ci_low	matthews_correlation_ci_high	matthews_correlation_ci_low	bootstrap_valid_iterations	macro_roc_auc_ci_low	macro_roc_auc_ci_high	log_loss_ci_low	log_loss_ci_high
True	0.6137435138545017	global_identity_knn	0.8513940468802259	0.6568994410468467	0.8019159548365448	0.4198198173829706	207	207	169	5	receptor_grouped_5fold	knn__receptor	25.543329000473022								2000	0.7563802674949802	0.8435278779880296	0.7211834126068579	0.9867563762807335
True	0.3682755153343389	global_identity_knn	1.257861408893798	0.3755591241931427	0.549548286225276	0.055237951838807274	207	207	169	2	sequence_cluster_30_grouped_5fold	knn__seq30	15.199540138244629								2000	0.4944762001492153	0.6052432191634086	1.1441572574610248	1.3753550150204132
True	0.3752217384292856	global_identity_knn	2.0460433205012327	0.3725654731537565	0.5520336363413948	0.0578914159134686	207	207	169	5	sequence_cluster_40_grouped_5fold	knn__seq40	23.097389221191406								2000	0.5003791040921419	0.6019156335706833	1.7958296400442244	2.305374359695348
True	0.41405086466129754	global_identity_knn	1.3896268576135895	0.3968193619278946	0.569989515819418	0.1185390099222679	207	207	169	5	sequence_cluster_50_grouped_5fold	knn__seq50	30.189825296401978								2000	0.5149776534296951	0.6227841442153799	1.211793356099135	1.58384187397754
True	0.4181915630306307	coarse_taxonomy	1.0841893753333678	0.41149327632225335	0.5947021556102863	0.10945028940888792	207	207	169	5	receptor_grouped_5fold	primary__coarse_taxonomy__receptor	4.301471948623657			all					2000	0.5411920196073846	0.6473662943313073	1.0531491531174204	1.1186904204424757
True	0.3015381769543812	coarse_taxonomy	1.0972573282132823	0.31733394852211294	0.4537036569751116	-0.025983856898750702	207	207	169	2	sequence_cluster_30_grouped_5fold	primary__coarse_taxonomy__seq30	3.099529504776001			all					2000	0.4053670132968761	0.5041665551925757	1.0895675708543535	1.104830642291782
True	0.33761395220884677	coarse_taxonomy	1.3598145131094523	0.3445127633936908	0.4984287413550598	-0.0038395709382890043	207	207	169	5	sequence_cluster_40_grouped_5fold	primary__coarse_taxonomy__seq40	5.875317096710205			all					2000	0.44704041620104823	0.5496334861572587	1.2639066962860475	1.4622715572414422
True	0.36665812914425566	coarse_taxonomy	1.1566906451494057	0.37657305205515396	0.5513766036241065	0.009146061271103567	207	207	169	5	sequence_cluster_50_grouped_5fold	primary__coarse_taxonomy__seq50	6.2131524085998535			all					2000	0.49711096079924466	0.6055165532364852	1.0923980894806828	1.2346213456714725
True	0.6446967756623695	endpoint_geometry	0.8928060120401947	0.6467980078392145	0.7759277127398571	0.46443961990402255	207	207	169	5	receptor_grouped_5fold	primary__endpoint_geometry__receptor	7.972722768783569			all					2000	0.726466591773165	0.8255234957669446	0.7897219110795264	1.0030531308831783
True	0.3255547018033145	endpoint_geometry	1.099686722795905	0.35652844757691365	0.5169710624116123	-0.01602498082790936	207	207	169	2	sequence_cluster_30_grouped_5fold	primary__endpoint_geometry__seq30	3.053788423538208			all					2000	0.45636134416390434	0.5784877366562935	1.028079134670291	1.169378436132901
True	0.5102805999032415	endpoint_geometry	1.0342729610947086	0.5211005536745801	0.6825931464075462	0.2510476784722889	207	207	169	5	sequence_cluster_40_grouped_5fold	primary__endpoint_geometry__seq40	7.816136598587036			all					2000	0.6265813244151281	0.7369334402062447	0.9440257808506958	1.1302632473499008
True	0.5720045154007418	endpoint_geometry	0.9491405536021118	0.5854727257198812	0.7311750193458689	0.3610435161266433	207	207	169	5	sequence_cluster_50_grouped_5fold	primary__endpoint_geometry__seq50	7.771148681640625			all					2000	0.6761160325776362	0.784390069647666	0.8416943962527422	1.0553377960673338
True	0.36501702761414195	fine_family	1.0968394773823764	0.3618256375264268	0.5193214453185454	0.1293131627815098	207	207	169	5	receptor_grouped_5fold	primary__fine_family__receptor	6.0592124462127686			all					2000	0.465927450916413	0.571935967128694	1.0961922436991305	1.0974533356694112
True	0.3333333333333333	fine_family	1.0976606402957132	0.32954343485818177	0.4893017600430511	0.0	207	207	169	2	sequence_cluster_30_grouped_5fold	primary__fine_family__seq30	1.7496590614318848			all					2000	0.46410322027038936	0.511322527825924	1.0965441631254222	1.0987647975410935
True	0.3333333333333333	fine_family	1.097481513842013	0.3266478274674652	0.4835049711280422	0.0	207	207	169	5	sequence_cluster_40_grouped_5fold	primary__fine_family__seq40	4.262974500656128			all					2000	0.43709972474269265	0.528424595632624	1.096942125615834	1.0979546663239472
True	0.3333333333333333	fine_family	1.096662739790418	0.3177796642283031	0.46517559133827796	0.0	207	207	169	5	sequence_cluster_50_grouped_5fold	primary__fine_family__seq50	5.949753999710083			all					2000	0.4136903284472532	0.5181376958994711	1.0946216999130236	1.098726958987421
True	0.6228075168141761	full_sequence	0.8311457326765319	0.6659598167283566	0.790133352433306	0.4246328488101181	207	207	169	5	receptor_grouped_5fold	primary__full_sequence__receptor	11.95527195930481			all					2000	0.7444503214916889	0.8322550589351738	0.7624324271086327	0.9025786178306819
True	0.3363499245852187	full_sequence	1.0798890488845316	0.3727113120887097	0.5391978346938785	0.01646731218585934	207	207	169	2	sequence_cluster_30_grouped_5fold	primary__full_sequence__seq30	4.684561014175415			all					2000	0.4802123963664173	0.600491712453969	1.0219522112206418	1.1346181407013476
True	0.36967709193014403	full_sequence	1.2228396159657953	0.4406441658002269	0.6121054800846072	0.0540182035976767	207	207	169	5	sequence_cluster_40_grouped_5fold	primary__full_sequence__seq40	10.865911960601807			all					2000	0.5595380113014163	0.6632196522790139	1.0812338850459415	1.3704540771136713
True	0.48950359050248066	full_sequence	1.0475112034251024	0.4559816674942863	0.6378503900092816	0.22614119219717688	207	207	169	5	sequence_cluster_50_grouped_5fold	primary__full_sequence__seq50	11.312974691390991			all					2000	0.5836985454991905	0.6895215384582124	0.9689812296186077	1.133611073435864
True	0.6257079028999118	interface_plus_taxonomy	0.8306105092544244	0.6873191643686236	0.8010420582670056	0.43298361183439327	207	207	169	5	receptor_grouped_5fold	primary__interface_plus_taxonomy__receptor	5.738548755645752			all					2000	0.755401002742345	0.8441050286346209	0.7298927295518218	0.9309731464787345
True	0.3264250547824355	interface_plus_taxonomy	1.0885523597468265	0.37193804835457595	0.5375646174131729	-0.015657034619683433	207	207	169	2	sequence_cluster_30_grouped_5fold	primary__interface_plus_taxonomy__seq30	3.8991198539733887			all					2000	0.48317726925472576	0.5951054900499665	1.0561708675142403	1.1281798440349728
